"end_date","link_label","published","type","title","body","tags","project_slug","glyph_key","organization","link_url","location","items","sort_order","start_date","bullets","group","id","created_date","updated_date","created_by_id","is_sample"
"","","true","initiative","Ripple Replay","<p>Independent&nbsp;product&nbsp;and&nbsp;systems&nbsp;initiative&nbsp;exploring&nbsp;how&nbsp;operational&nbsp;workflows&nbsp;can&nbsp;be&nbsp;translated&nbsp;into&nbsp;replayable,&nbsp;self-documenting&nbsp;processes.&nbsp;Designed&nbsp;to&nbsp;make&nbsp;complex&nbsp;multi-step&nbsp;operations&nbsp;visible,&nbsp;traceable,&nbsp;and&nbsp;repeatable—turning&nbsp;tacit&nbsp;institutional&nbsp;knowledge&nbsp;into&nbsp;structured&nbsp;systems&nbsp;that&nbsp;survive&nbsp;personnel&nbsp;changes&nbsp;and&nbsp;scale&nbsp;across&nbsp;teams.</p>","[""PRODUCT"",""WORKFLOW"",""OPERATIONS"",""SYSTEMS""]","ripple-replay","operations","PRODUCT / SYSTEMS INITIATIVE","","","[]","0","","[]","core_practice","6a93a1aa1f2812a95fa297b5","2026-08-30T03:21:14.802000","2026-08-30T05:37:49.540000","6a93241fd853d49e33811285","false"
"","","true","skill_group","Digital & Technical Environments","","[]","","operations","","","","[""WordPress"",""Squarespace"",""Mailchimp"",""Meta Ads"",""Google Ads"",""Canva"",""HTML/CSS""]","5","","[]","tools","6a93a1aa1f2812a95fa297bc","2026-08-30T03:21:14.802000","2026-08-30T03:21:14.802000","6a93241fd853d49e33811285","false"
"","","true","skill_group","Collaboration & Productivity","","[]","","operations","","","","[""Slack"",""Zoom""]","4","","[]","tools","6a93a1aa1f2812a95fa297bb","2026-08-30T03:21:14.802000","2026-08-30T03:21:14.802000","6a93241fd853d49e33811285","false"
"","","true","skill_group","Technical Skills","","[]","","operations","","","","[""SQL""]","6","","[]","tools","6a93a1aa1f2812a95fa297bd","2026-08-30T03:21:14.802000","2026-08-30T03:21:14.802000","6a93241fd853d49e33811285","false"
"","","true","credential","Real Estate License","","[]","","operations","State of Tennessee","","","[]","0","","[]","core_practice","6a93a1aa1f2812a95fa297c0","2026-08-30T03:21:14.802000","2026-08-30T03:21:14.802000","6a93241fd853d49e33811285","false"
"","","true","skill_group","Adoption & Change","","[]","","communication","04","","","[""Training material development"",""Onboarding session facilitation"",""Change management and rollout support"",""Agent coaching and development"",""Workshop design and delivery"",""Stakeholder communication and liaison""]","3","","[]","core_practice","6a93a1aa1f2812a95fa297b4","2026-08-30T03:21:14.802000","2026-08-30T03:21:14.802000","6a93241fd853d49e33811285","false"
"","","true","skill_group","Automation & Project Work","","[]","","operations","","","","[""Trello"",""Asana"",""Notion"",""Zapier""]","3","","[]","tools","6a93a1aa1f2812a95fa297ba","2026-08-30T03:21:14.802000","2026-08-30T03:21:14.802000","6a93241fd853d49e33811285","false"
"","","true","skill_group","Controls & Compliance","","[]","","risk","03","","","[""FTC Consent Order compliance support"",""Regulatory documentation and reporting"",""Audit coordination and file management"",""Compliance exception resolution"",""Legal intake and case management"",""Advertising and marketing compliance review"",""Documentation standards and retrieval systems"",""Multi-jurisdiction regulatory coordination""]","2","","[]","core_practice","6a93a1aa1f2812a95fa297b3","2026-08-30T03:21:14.802000","2026-08-30T03:21:14.802000","6a93241fd853d49e33811285","false"
"","","true","skill_group","Data & Reporting","","[]","","operations","","","","[""Excel (Pivot Tables, VLOOKUP)"",""Google Sheets"",""Google Analytics""]","2","","[]","tools","6a93a1aa1f2812a95fa297b9","2026-08-30T03:21:14.802000","2026-08-30T03:21:14.802000","6a93241fd853d49e33811285","false"
"May 2013","","true","education","B.S. in Psych-biology (Pre-med)","","[]","","operations","Southern Adventist University","","","[]","1","Aug 2008","[]","core_practice","6a93a1aa1f2812a95fa297bf","2026-08-30T03:21:14.802000","2026-08-30T03:21:14.802000","6a93241fd853d49e33811285","false"
"","","true","skill_group","Operations & Delivery","","[]","","execute","02","","","[""Transaction coordination and compliance"",""Contract-heavy process management"",""Vendor and platform management"",""Onboarding program design and delivery"",""Pipeline and performance tracking"",""Cross-functional coordination"",""Regulatory correspondence and reporting"",""Operational liaison and communication""]","1","","[]","core_practice","6a93a1aa1f2812a95fa297b2","2026-08-30T03:21:14.802000","2026-08-30T03:21:14.802000","6a93241fd853d49e33811285","false"
"","","true","skill_group","Transaction & Document Systems","","[]","","operations","","","","[""Dotloop"",""SkySlope"",""DocuSign"",""Adobe Acrobat""]","1","","[]","tools","6a93a1aa1f2812a95fa297b8","2026-08-30T03:21:14.802000","2026-08-30T03:21:14.802000","6a93241fd853d49e33811285","false"
"","","true","initiative","Scenic City Lending","<p>Operations&nbsp;and&nbsp;business&nbsp;systems&nbsp;initiative&nbsp;supporting&nbsp;a&nbsp;regional&nbsp;lending&nbsp;practice.&nbsp;Built&nbsp;structured&nbsp;workflows&nbsp;for&nbsp;client&nbsp;intake,&nbsp;document&nbsp;tracking,&nbsp;and&nbsp;pipeline&nbsp;management—replacing&nbsp;ad-hoc&nbsp;coordination&nbsp;with&nbsp;a&nbsp;documented,&nbsp;auditable&nbsp;process.&nbsp;Integrated&nbsp;billing&nbsp;tracking&nbsp;and&nbsp;project&nbsp;milestone&nbsp;reporting&nbsp;into&nbsp;a&nbsp;single&nbsp;operational&nbsp;view.</p>","[""OPERATIONS"",""WORKFLOW"",""BILLING"",""PROJECT TRACKING""]","","operations","OPERATIONS & BUSINESS SYSTEMS INITIATIVE","","","[]","1","","[]","core_practice","6a93a1aa1f2812a95fa297b6","2026-08-30T03:21:14.802000","2026-08-30T05:37:49.562000","6a93241fd853d49e33811285","false"
"","","true","skill_group","CRM & Workflow","","[]","","operations","","","","[""Salesforce"",""HubSpot"",""Follow Up Boss"",""kvCORE"",""Dotloop"",""SkySlope"",""MLS Systems"",""Google Workspace""]","0","","[]","tools","6a93a1aa1f2812a95fa297b7","2026-08-30T03:21:14.802000","2026-08-30T03:21:14.802000","6a93241fd853d49e33811285","false"
"","","true","skill_group","Systems & Implementation","","[]","","process","01","","","[""Workflow design and documentation"",""SOP development and maintenance"",""Process mapping and standardization"",""Systems implementation and rollout"",""Documentation standards and audit readiness"",""Operational restructuring""]","0","","[]","core_practice","6a93a1aa1f2812a95fa297b1","2026-08-30T03:21:14.802000","2026-08-30T03:21:14.802000","6a93241fd853d49e33811285","false"
"May 2017","","true","education","J.D.","","[]","","operations","University of Tennessee, College of Law","","","[]","0","Aug 2014","[]","core_practice","6a93a1aa1f2812a95fa297be","2026-08-30T03:21:14.802000","2026-08-30T03:21:14.802000","6a93241fd853d49e33811285","false"
"","","true","experience","Operations Manager","","[""OPERATIONS"",""SYSTEMS"",""TRANSACTIONS"",""PROCESS IMPROVEMENT""]","","operations","Keller Williams Realty","","Chattanooga, TN","[]","0","Dec 2024","[""Spearheaded operational restructuring across three core business areas—agent onboarding, compliance, and transaction coordination—reducing average onboarding time by 40%."",""Designed and implemented standardized transaction workflows using Dotloop and SkySlope, ensuring 100% compliance with Tennessee real estate commission requirements."",""Built agent performance dashboards in Excel using pivot tables and lookup functions to track GCI, closing ratios, and pipeline velocity."",""Created and maintained the office's SOP library—covering listing intake, contract-to-close procedures, and post-closing compliance—improving documentation consistency across 40+ active agents."",""Coordinated post-closing file audits and resolved compliance exceptions, reducing audit rework cycles by approximately 30%."",""Managed vendor relationships for transaction software platforms, negotiating renewals and overseeing implementation of feature updates."",""Developed training materials and led onboarding sessions for new agents on brokerage systems, compliance standards, and transaction procedures."",""Served as primary operational liaison between ownership, agents, and external compliance partners.""]","core_practice","6a93a1aa1f2812a95fa297ad","2026-08-30T03:21:14.801000","2026-08-30T03:21:14.801000","6a93241fd853d49e33811285","false"
"May 2024","","true","experience","Director of Marketing","","[""MARKETING OPERATIONS"",""ANALYTICS"",""DIGITAL SYSTEMS""]","","operations","Environmental Research Center (ERC)","","Fort Oglethorpe, GA","[]","2","Jun 2021","[""Led digital marketing strategy and execution across web, email, and social channels."",""Built and managed marketing analytics dashboards tracking campaign performance, audience engagement, and conversion metrics."",""Implemented marketing operations systems including campaign tracking, content calendars, and performance reporting."",""Coordinated creative production across internal teams and external vendors."",""Managed digital advertising budgets and optimized spend based on performance data."",""Developed and maintained the organization's brand standards and visual identity guidelines."",""Oversaw website content management and SEO strategy.""]","core_practice","6a93a1aa1f2812a95fa297af","2026-08-30T03:21:14.801000","2026-08-30T03:21:14.801000","6a93241fd853d49e33811285","false"
"May 2024","","true","experience","Paralegal","","[""COMPLIANCE"",""LEGAL OPERATIONS"",""CONTROLS"",""DOCUMENTATION""]","","operations","Environmental Research Center (ERC)","","Fort Oglethorpe, GA","[]","1","Jun 2021","[""Managed consumer compliance documentation and regulatory correspondence under FTC Consent Order oversight."",""Coordinated contract-heavy processes including vendor agreements, compliance reporting, and legal intake workflows."",""Maintained and organized case files, legal correspondence, and regulatory submissions across multiple jurisdictions."",""Drafted compliance memoranda and procedural documentation supporting organizational response to regulatory requirements."",""Implemented documentation standards that improved audit readiness and reduced retrieval time for legal records."",""Liaised with external counsel and regulatory agencies to ensure timely and accurate compliance reporting."",""Supported marketing operations compliance review, ensuring advertising materials met regulatory standards."",""Streamlined internal legal workflows by creating standardized templates and tracking systems.""]","core_practice","6a93a1aa1f2812a95fa297ae","2026-08-30T03:21:14.801000","2026-08-30T03:21:14.801000","6a93241fd853d49e33811285","false"
"","","true","summary","Profile","<p>Operations&nbsp;and&nbsp;systems&nbsp;professional&nbsp;with&nbsp;8+&nbsp;years&nbsp;of&nbsp;experience&nbsp;across&nbsp;real&nbsp;estate&nbsp;operations,&nbsp;legal&nbsp;support,&nbsp;consumer&nbsp;compliance,&nbsp;marketing&nbsp;operations,&nbsp;sales&nbsp;systems,&nbsp;and&nbsp;workflow&nbsp;improvement.&nbsp;Experienced&nbsp;in&nbsp;building&nbsp;practical&nbsp;tools,&nbsp;improving&nbsp;documentation&nbsp;standards,&nbsp;coordinating&nbsp;contract-heavy&nbsp;processes,&nbsp;and&nbsp;translating&nbsp;messy&nbsp;operations&nbsp;into&nbsp;clearer&nbsp;systems.</p>","[]","","operations","","","","[]","0","","[]","core_practice","6a93a1aa1f2812a95fa297ac","2026-08-30T03:21:14.801000","2026-08-30T05:37:49.542000","6a93241fd853d49e33811285","false"
"Jun 2021","","true","experience","Director of Outbound Sales","","[""CRM"",""SALES OPERATIONS"",""WORKFLOW DESIGN"",""TRAINING""]","","operations","Keller Williams Realty","","Chattanooga, TN","[]","3","Jun 2018","[""Led outbound sales operations and agent development programs."",""Designed and implemented CRM workflows for lead tracking, follow-up automation, and pipeline management."",""Built sales performance tracking systems and coached agents on pipeline management best practices."",""Developed training curricula and led workshops on sales systems, workflow design, and CRM utilization."",""Managed lead distribution systems and ensured timely follow-up across the sales team."",""Created standardized sales processes and documentation to improve consistency and accountability."",""Analyzed sales data to identify pipeline bottlenecks and coach agents on improvement opportunities.""]","core_practice","6a93a1aa1f2812a95fa297b0","2026-08-30T03:21:14.801000","2026-08-30T03:21:14.801000","6a93241fd853d49e33811285","false"
